tensor,owen,stream,stoc_len,ref_rms,mse,rmse,max_abs,rel_fro,cos
L0.q_proj,bitrev,full,256,1.2456599473953247,0.0005316467140801251,0.023057465473900748,0.3801918029785156,0.0185102391988039,0.9999027252197266
L0.q_proj,bitrev,full,128,1.2456599473953247,0.00022892429842613637,0.015130244493270304,0.1820383071899414,0.012146367691457272,0.999942421913147
L0.q_proj,bitrev,full,64,1.2456599473953247,0.0006589630502276123,0.025670275616510474,0.2743692398071289,0.02060776948928833,0.9998283982276917
L0.q_proj,bitrev,full,32,1.2456599473953247,0.0020233560353517532,0.04498173001732763,0.6497001647949219,0.036110758781433105,0.9994778633117676
L0.q_proj,bitrev,full,16,1.2456599473953247,0.005301348399370909,0.0728103591487565,0.7995719909667969,0.058451227843761444,0.9984698295593262
L0.q_proj,bitrev,halve,128,1.2456599473953247,0.00017953274073079228,0.013398982824483069,0.1324458122253418,0.010756532661616802,0.9999421834945679
L0.q_proj,random,full,256,1.2456599473953247,0.0005316467140801251,0.023057465473900748,0.3801918029785156,0.0185102391988039,0.9999027252197266
L0.q_proj,random,full,128,1.2456599473953247,0.00016201965627260506,0.012728694209250416,0.13390159606933594,0.010218434035778046,0.9999486804008484
L0.q_proj,random,full,64,1.2456599473953247,0.00045857939403504133,0.02141446693324495,0.27194690704345703,0.017191261053085327,0.9998522996902466
L0.q_proj,random,full,32,1.2456599473953247,0.0014591997023671865,0.03819947254043159,0.5098867416381836,0.0306660495698452,0.9995306730270386
L0.q_proj,random,full,16,1.2456599473953247,0.0035399743355810642,0.05949768344718191,0.4843379259109497,0.04776398092508316,0.9988644123077393
L0.q_proj,random,halve,128,1.2456599473953247,0.0001723510940792039,0.013128255561162873,0.1584320068359375,0.01053919643163681,0.9999476671218872
L0.up_proj,off,full,256,0.08224800229072571,6.305969236564124e-06,0.0025111688984542882,0.09751653671264648,0.03053167089819908,0.9995617270469666
L0.up_proj,off,full,128,0.08224800229072571,2.7221003620070405e-05,0.005217375165739033,0.23260045051574707,0.0634346678853035,0.9983128309249878
L0.up_proj,off,full,64,0.08224800229072571,0.00013316435797605664,0.011539686216533647,0.5991625785827637,0.14030355215072632,0.9925333261489868
