tensor,proj,stoc_len,halve,scramble,mse,rel_fro
L0.o_proj,o_proj,16,full,counter,3.7306353988242336e-06,0.2315409928560257
L0.o_proj,o_proj,16,full,bitrev,3.160168489557691e-06,0.2131039798259735
L0.o_proj,o_proj,16,halve,off,1.7268395822611637e-05,0.49815264344215393
L0.o_proj,o_proj,16,halve,counter,3.6911346796841826e-06,0.23031191527843475
L0.o_proj,o_proj,16,halve,bitrev,3.0751082249480532e-06,0.2102164328098297
L0.q_proj,q_proj,256,full,off,0.0005316467140801251,0.0185102391988039
L0.q_proj,q_proj,256,full,counter,0.0005316467140801251,0.0185102391988039
L0.q_proj,q_proj,256,full,bitrev,0.0005316467140801251,0.0185102391988039
L0.q_proj,q_proj,256,halve,off,0.00044390023685991764,0.016913877800107002
L0.q_proj,q_proj,256,halve,counter,5.982363290968351e-05,0.006209217477589846
L0.q_proj,q_proj,256,halve,bitrev,6.644471432082355e-05,0.00654381001368165
L0.q_proj,q_proj,192,full,off,0.0009106734651140869,0.024226006120443344
L0.q_proj,q_proj,192,full,counter,9.95226509985514e-05,0.008008689619600773
L0.q_proj,q_proj,192,full,bitrev,0.00010512988228583708,0.008231207728385925
L0.q_proj,q_proj,192,halve,off,0.0007410550606437027,0.02185373567044735
L0.q_proj,q_proj,192,halve,counter,0.00010276548709953204,0.008138120174407959
L0.q_proj,q_proj,192,halve,bitrev,0.00010389911039965227,0.008182884193956852
L0.q_proj,q_proj,128,full,off,0.0030351632740348577,0.04422740638256073
L0.q_proj,q_proj,128,full,counter,0.00019622397667262703,0.011245441623032093
L0.q_proj,q_proj,128,full,bitrev,0.00022892429842613637,0.012146367691457272
L0.q_proj,q_proj,128,halve,off,0.0024867248721420765,0.04003264755010605
L0.q_proj,q_proj,128,halve,counter,0.00019237847300246358,0.011134704574942589
L0.q_proj,q_proj,128,halve,bitrev,0.00017953274073079228,0.010756532661616802
L0.q_proj,q_proj,96,full,off,0.005394201260060072,0.058960892260074615
